batchId,ms,groupSize,rg,rb,userVectorFirstEle,lastGroupVectorFirstEle
131.0,122.485221,2.0,0.7,0.9,0.0479797979769303,0.95
132.0,126.074129,2.0,0.7,0.9,0.0480099502467788,1.0
133.0,126.117738,2.0,0.7,0.9,0.04726368159006239,0.95
134.0,141.623183,2.0,0.7,0.9,0.04730392156726362,1.0
135.0,129.755847,2.0,0.7,0.9,0.04656862744961656,0.95
136.0,132.238552,2.0,0.7,0.9,0.04661835748698186,1.0
137.0,152.663606,2.0,0.7,0.9,0.045893719805822436,0.95
138.0,159.228847,2.0,0.7,0.9,0.045952380951731764,1.0
139.0,121.345711,2.0,0.7,0.9,0.04523809523744605,0.95
140.0,161.881151,2.0,0.7,0.9,0.04530516431880079,1.0
141.0,163.052554,2.0,0.7,0.9,0.04460093896668811,0.95
142.0,128.349323,2.0,0.7,0.9,0.04467592592561665,1.0
143.0,144.393564,2.0,0.7,0.9,0.04398148148117221,0.95
144.0,143.117322,2.0,0.7,0.9,0.04406392694042574,1.0
145.0,223.626443,2.0,0.7,0.9,0.04337899543357643,0.95
146.0,135.716989,2.0,0.7,0.9,0.043468468468321024,1.0
147.0,146.079815,2.0,0.7,0.9,0.04279279279264535,0.95
148.0,269.365309,2.0,0.7,0.9,0.04288888888878705,1.0
149.0,138.22294,2.0,0.7,0.9,0.04222222222212038,0.95
150.0,125.919931,2.0,0.7,0.9,0.04232456140343842,1.0
151.0,156.604159,2.0,0.7,0.9,0.04166666666659632,0.95
152.0,172.616204,2.0,0.7,0.9,0.04177489177484317,1.0
153.0,170.699626,2.0,0.7,0.9,0.04112554112549253,0.95
154.0,130.74888,2.0,0.7,0.9,0.04123931623928265,1.0
155.0,152.302159,2.0,0.7,0.9,0.04059829059825701,0.95
156.0,146.145242,2.0,0.7,0.9,0.040717299578035854,1.0
157.0,184.547457,2.0,0.7,0.9,0.04008438818563079,0.95
158.0,163.075205,2.0,0.7,0.9,0.04020833333331728,1.0
159.0,197.706707,2.0,0.7,0.9,0.03958333333331729,0.95
160.0,132.035912,2.0,0.7,0.9,0.0397119341563675,1.0
161.0,122.270204,2.0,0.7,0.9,0.03909465020575021,0.95
162.0,167.026329,2.0,0.7,0.9,0.039227642276415085,1.0
163.0,146.940633,2.0,0.7,0.9,0.038617886178854116,0.95
164.0,152.378757,2.0,0.7,0.9,0.03875502008031598,1.0
165.0,222.770895,2.0,0.7,0.9,0.038152610441761756,0.95
166.0,130.980748,2.0,0.7,0.9,0.03829365079364712,1.0
167.0,133.728301,2.0,0.7,0.9,0.03769841269840902,0.95
168.0,167.364256,2.0,0.7,0.9,0.03784313725489942,1.0
169.0,117.97626,2.0,0.7,0.9,0.03725490196078177,0.95
170.0,128.176702,2.0,0.7,0.9,0.03740310077519204,1.0
171.0,138.209322,2.0,0.7,0.9,0.03682170542635482,0.95
172.0,136.165306,2.0,0.7,0.9,0.036973180076627137,1.0
173.0,163.224328,2.0,0.7,0.9,0.03639846743294897,0.95
174.0,122.985142,2.0,0.7,0.9,0.036553030303029456,1.0
175.0,134.23365,2.0,0.7,0.9,0.03598484848484764,0.95
176.0,138.315242,2.0,0.7,0.9,0.03614232209737769,1.0
177.0,118.493584,2.0,0.7,0.9,0.0355805243445687,0.95
178.0,117.148719,2.0,0.7,0.9,0.03574074074074034,1.0
179.0,122.987677,2.0,0.7,0.9,0.03518518518518478,0.95
180.0,118.078208,2.0,0.7,0.9,0.03534798534798507,1.0
181.0,141.275265,2.0,0.7,0.9,0.03479853479853452,0.95
182.0,193.157662,2.0,0.7,0.9,0.03496376811594183,1.0
183.0,131.07797,2.0,0.7,0.9,0.03442028985507226,0.95
184.0,114.178235,2.0,0.7,0.9,0.03458781362007155,1.0
185.0,166.555652,2.0,0.7,0.9,0.0340501792114694,0.95
186.0,134.447252,2.0,0.7,0.9,0.03421985815602827,1.0
187.0,123.782056,2.0,0.7,0.9,0.033687943262411243,0.95
188.0,142.092812,2.0,0.7,0.9,0.03385964912280695,1.0
189.0,118.605595,2.0,0.7,0.9,0.033333333333333263,0.95
190.0,120.488288,2.0,0.7,0.9,0.033506944444444395,1.0
191.0,151.889334,2.0,0.7,0.9,0.032986111111111056,0.95
192.0,120.812862,2.0,0.7,0.9,0.033161512027491374,1.0
193.0,121.088662,2.0,0.7,0.9,0.0326460481099656,0.95
194.0,119.104853,2.0,0.7,0.9,0.03282312925170065,1.0
195.0,121.12659,2.0,0.7,0.9,0.032312925170068,0.95
196.0,117.81724,2.0,0.7,0.9,0.032491582491582474,1.0
197.0,119.394494,2.0,0.7,0.9,0.031986531986531966,0.95
198.0,118.520126,2.0,0.7,0.9,0.03216666666666665,1.0
199.0,180.816231,2.0,0.7,0.9,0.031666666666666655,0.95
200.0,139.049397,2.0,0.7,0.9,0.03184818481848184,1.0
201.0,145.472849,2.0,0.7,0.9,0.03135313531353134,0.95
202.0,164.204803,2.0,0.7,0.9,0.03153594771241829,1.0
203.0,164.790862,2.0,0.7,0.9,0.031045751633986922,0.95
204.0,114.92047,2.0,0.7,0.9,0.03122977346278316,1.0
205.0,141.76253,2.0,0.7,0.9,0.03074433656957928,0.95
206.0,116.519645,2.0,0.7,0.9,0.030929487179487174,1.0
207.0,114.803093,2.0,0.7,0.9,0.030448717948717945,0.95
208.0,159.897396,2.0,0.7,0.9,0.03063492063492063,1.0
209.0,113.435251,2.0,0.7,0.9,0.030158730158730156,0.95
210.0,118.49711,2.0,0.7,0.9,0.03034591194968553,1.0
211.0,124.34183,2.0,0.7,0.9,0.02987421383647798,0.95
212.0,114.863216,2.0,0.7,0.9,0.03006230529595015,1.0
213.0,158.837037,2.0,0.7,0.9,0.02959501557632398,0.95
214.0,128.798228,2.0,0.7,0.9,0.029783950617283946,1.0
215.0,123.679745,2.0,0.7,0.9,0.02932098765432098,0.95
216.0,175.295621,2.0,0.7,0.9,0.02951070336391437,1.0
217.0,116.933978,2.0,0.7,0.9,0.029051987767584095,0.95
218.0,155.080367,2.0,0.7,0.9,0.029242424242424236,1.0
219.0,174.248587,2.0,0.7,0.9,0.028787878787878782,0.95
220.0,116.135232,2.0,0.7,0.9,0.028978978978978977,1.0
221.0,119.552451,2.0,0.7,0.9,0.028528528528528524,0.95
222.0,495.33386,2.0,0.7,0.9,0.02872023809523809,1.0
223.0,188.639711,2.0,0.7,0.9,0.028273809523809517,0.95
224.0,126.336826,2.0,0.7,0.9,0.028466076696165188,1.0
225.0,114.683811,2.0,0.7,0.9,0.02802359882005899,0.95
226.0,122.16699,2.0,0.7,0.9,0.028216374269005844,1.0
227.0,112.641661,2.0,0.7,0.9,0.027777777777777773,0.95
228.0,160.004958,2.0,0.7,0.9,0.02797101449275362,1.0
229.0,113.619375,2.0,0.7,0.9,0.027536231884057967,0.95
230.0,203.07589,2.0,0.7,0.9,0.02772988505747126,1.0
231.0,123.031171,2.0,0.7,0.9,0.027298850574712638,0.95
232.0,115.685323,2.0,0.7,0.9,0.02749287749287749,1.0
233.0,199.555922,2.0,0.7,0.9,0.027065527065527062,0.95
234.0,116.691893,2.0,0.7,0.9,0.027259887005649713,1.0
235.0,122.865165,2.0,0.7,0.9,0.02683615819209039,0.95
236.0,144.100154,2.0,0.7,0.9,0.02703081232492997,1.0
237.0,125.931269,2.0,0.7,0.9,0.026610644257703073,0.95
238.0,136.150289,2.0,0.7,0.9,0.02680555555555555,1.0
239.0,172.892539,2.0,0.7,0.9,0.026388888888888882,0.95
240.0,129.10023,2.0,0.7,0.9,0.026584022038567492,1.0
241.0,110.353008,2.0,0.7,0.9,0.026170798898071623,0.95
242.0,137.015588,2.0,0.7,0.9,0.026366120218579234,1.0
243.0,127.719405,2.0,0.7,0.9,0.025956284153005462,0.95
244.0,184.858202,2.0,0.7,0.9,0.026151761517615175,1.0
245.0,144.768894,2.0,0.7,0.9,0.025745257452574524,0.95
246.0,116.350249,2.0,0.7,0.9,0.02594086021505376,1.0
247.0,156.281236,2.0,0.7,0.9,0.025537634408602145,0.95
248.0,120.383478,2.0,0.7,0.9,0.02573333333333333,1.0
249.0,127.93386,2.0,0.7,0.9,0.02533333333333333,0.95
250.0,137.917786,2.0,0.7,0.9,0.025529100529100526,1.0
251.0,113.259236,2.0,0.7,0.9,0.025132275132275127,0.95
252.0,131.727957,2.0,0.7,0.9,0.02532808398950131,1.0
253.0,114.815665,2.0,0.7,0.9,0.024934383202099734,0.95
254.0,116.267079,2.0,0.7,0.9,0.02513020833333333,1.0
255.0,184.829051,2.0,0.7,0.9,0.02473958333333333,0.95
256.0,127.432977,2.0,0.7,0.9,0.024935400516795863,1.0
257.0,119.567298,2.0,0.7,0.9,0.024547803617571053,0.95
258.0,213.224324,2.0,0.7,0.9,0.02474358974358974,1.0
259.0,129.546639,2.0,0.7,0.9,0.024358974358974356,0.95
260.0,138.372147,2.0,0.7,0.9,0.024554707379134857,1.0
261.0,163.202857,2.0,0.7,0.9,0.024173027989821877,0.95
262.0,150.633739,2.0,0.7,0.9,0.024368686868686866,1.0
263.0,116.819836,2.0,0.7,0.9,0.023989898989898985,0.95
264.0,172.148259,2.0,0.7,0.9,0.024185463659147866,1.0
265.0,122.144415,2.0,0.7,0.9,0.023809523809523805,0.95
266.0,112.506119,2.0,0.7,0.9,0.024004975124378106,1.0
267.0,133.666216,2.0,0.7,0.9,0.023631840796019897,0.95
268.0,129.985602,2.0,0.7,0.9,0.02382716049382716,1.0
269.0,113.157945,2.0,0.7,0.9,0.023456790123456788,0.95
